,ID,"Уставный капитал, млн RUB","Налоги, млн RUB","Страховые взносы в ПФР, млн RUB","Страховые взносы в ФОМС, млн RUB","Страховые взносы в ФСС, млн RUB","Основные средства , млн RUB","Чистые активы, млн RUB","Запасы, млн RUB","Выручка, млн RUB","Чистая прибыль (убыток), млн RUB","Оплата труда, млн RUB","Оплата труда, прогноз"
0,1-2CN8JI,354.58,334.0,110.0,31.0,3.0,390.0,1529,1539.0,2322,518.0,469,481
1,1-1ESSMI0W,0.17,390.0,279.0,77.0,9.0,1824.0,2847,116.0,3373,245.0,1912,1483
2,1-OZWLA,0.06,334.0,110.0,31.0,3.0,1305.0,1515,745.0,1181,5.0,577,643
3,1-BD0B7,9.01,743.0,209.0,50.0,3.0,35.0,7312,3470.0,10012,585.0,1259,1658
4,1-MDDDW,918.9,334.0,110.0,31.0,3.0,3747.0,7362,6557.0,114517,1648.0,12725,8343
5,1-2NE9PO,258.38,203.0,75.0,17.0,2.0,220.0,331,160.0,1204,-37.0,439,246
6,1-S8BM5,0.03,464.0,147.0,36.0,3.0,151.0,662,82.0,2567,150.0,660,619
7,1-P4MH7,0.08,214.0,80.0,19.0,1.0,38.0,220,33.0,1867,16.0,491,326
8,1-94BSM11,28740.77,334.0,110.0,31.0,3.0,104415.0,93320,75006.0,1035979,10128.0,79052,74744
9,1-Q7COH,0.07,561.0,130.0,34.0,4.0,471.0,6669,614.0,3738,635.0,828,1166
10,1-H9Q5SL,1.0,188.0,72.0,20.0,3.0,47.0,2009,704.0,2373,16.0,483,572
11,1-67W654V,3788.2,606.0,305.0,73.0,3.0,2013.0,3410,132.0,10219,-239.0,1860,1410
12,1-AX64DQ,0.27,334.0,110.0,31.0,3.0,205.0,831,493.0,1811,444.0,408,485
13,1-AR2XCM,0.01,160.0,41.0,36.0,2.0,14.0,665,0.0,1405,194.0,781,884
14,1-OSYHD,64.6,658.0,172.0,44.0,3.0,174.0,2110,3019.0,3794,674.0,1154,712
15,1-2EJAB,9.02,334.0,110.0,31.0,3.0,1764.0,2947,9706.0,36248,843.0,3873,2628
16,1-20YGM7,1233.58,334.0,110.0,31.0,3.0,595.0,5377,76.0,7471,-3439.0,4186,2174
17,1-LDZ3H4,985.79,334.0,110.0,31.0,3.0,5874.0,7295,625.0,2585,359.0,442,1206
18,1-1BZ804Y,1189.17,1782.0,499.0,117.0,46.0,10937.0,8416,3686.0,16549,370.0,3014,3638
19,1-AWW6W8,220.0,137.0,107.0,26.0,1.0,52.0,26,217.0,2232,-254.0,536,426
20,1-AF3GV,7.5,445.0,185.0,66.0,2.0,243.0,3077,1764.0,10232,651.0,1166,1785
21,1-BWRA77E,150.0,334.0,110.0,31.0,3.0,42.0,14309,290.0,43271,2697.0,989,4021
22,1-5II96UG,0.01,309.0,74.0,16.0,9.0,533.0,517,1339.0,2964,33.0,527,429
23,1-48U27,120.78,334.0,110.0,31.0,3.0,3795.0,3665,718.0,21969,4425.0,589,1206
24,1-2638GZ,622.71,334.0,110.0,31.0,3.0,15698.0,14453,4302.0,35067,1118.0,1478,4137
25,1-DJDBT,0.1,505.0,66.0,17.0,2.0,1360.0,1962,214.0,2592,1225.0,437,327
26,1-467I7,1.0,408.0,168.0,41.0,11.0,12.0,571,468.0,3873,77.0,1006,814
27,1-3S4YEIG,0.01,370.0,47.0,38.0,5.0,240.0,113,6.0,1752,254.0,1054,943
28,1-1NISJZA,14.51,145.0,76.0,19.0,2.0,6144.0,2052,603.0,7063,-838.0,467,1260
29,1-1OINDVV,36.38,1132.0,342.0,133.0,9.0,5639.0,21242,5389.0,17811,7462.0,2997,3548
30,1-7DZP4,0.01,334.0,110.0,31.0,3.0,50.0,1855,4984.0,24583,451.0,539,1965
31,1-9UPHXD,3233.33,334.0,110.0,31.0,3.0,4938.0,4654,3727.0,40060,-1128.0,2095,3488
32,1-1W1FZ28,0.01,269.0,94.0,24.0,2.0,38.0,27,959.0,3527,32.0,401,473
33,1-1UVHU5V,3.46,281.0,107.0,26.0,4.0,223.0,319,50.0,2127,118.0,520,446
34,1-2G1PDK,2.95,334.0,110.0,31.0,3.0,1084.0,19730,40.0,19309,7059.0,1112,1795
35,1-P54W7W,2.9,192.0,88.0,24.0,0.0,27.0,946,877.0,6917,206.0,618,742
36,1-PGRRY,0.01,334.0,110.0,31.0,3.0,2166.0,4256,1542.0,7789,900.0,1337,1119
37,1-PJ2MT,8.16,279.0,86.0,22.0,2.0,212.0,397,66.0,1143,69.0,566,357
38,1-ME31V,245.93,334.0,110.0,31.0,3.0,482.0,818,50.0,1183,91.0,836,527
39,1-RO8RZ,242.05,334.0,110.0,31.0,3.0,452.0,274,2043.0,5429,821.0,997,497
40,1-J9XR,65143.75,334.0,110.0,31.0,3.0,242293.0,224983,1507.0,35804,636.0,5257,22648
41,1-4HN4UBV,0.55,334.0,110.0,31.0,3.0,102.0,216,643.0,810,40.0,405,453
42,1-FU4D36,1537.77,334.0,110.0,31.0,3.0,37881.0,14369,356.0,20099,3446.0,4447,3235
43,1-9O0RAP,0.01,116.0,32.0,29.0,2.0,64.0,571,15.0,1956,160.0,811,770
44,1-LDY5OC,0.2,1061.0,234.0,63.0,5.0,161.0,5159,665.0,8443,1636.0,1111,1514
45,1-A5IZRXV,1881.63,431.0,111.0,28.0,2.0,979.0,3308,827.0,4263,286.0,660,614
46,1-2AEEX2,35362.51,466.0,243.0,65.0,14.0,18751.0,25721,337.0,3410,-2458.0,1095,36
47,1-KIVQS,186.42,334.0,110.0,31.0,3.0,7635.0,599,35797.0,67854,-15.0,2251,3880
48,1-KIVOV,39.02,906.0,104.0,32.0,3.0,121.0,5136,17889.0,5840,1813.0,559,217
49,1-CDDKDV4,0.01,334.0,110.0,31.0,3.0,439.0,1263,1.0,105808,702.0,533,7711
50,1-1FEOGN1,7.05,334.0,110.0,31.0,3.0,97529.0,50760,3453.0,92442,40430.0,2442,4032
51,1-52HKGUF,436721.01,334.0,110.0,31.0,3.0,52219.0,594111,6416.0,66945,1381.0,7720,3340
52,1-JNZKKNL,1255.21,2508.0,915.0,235.0,35.0,2272.0,3158,1194.0,14556,110.0,3825,4304
53,1-1JDI14,2010.0,334.0,110.0,31.0,3.0,11407.0,17227,1553.0,54589,-321.0,5605,5920
54,1-KIVM5,0.01,247.0,108.0,36.0,4.0,29047.0,18941,0.0,1184,-2067.0,624,3846
55,1-1CIXVS4,20736.06,334.0,110.0,31.0,3.0,32778.0,52573,8210.0,77195,109.0,5765,8576
56,1-P21O5,18374.3,1399.0,540.0,166.0,23.0,30435.0,7500,1804.0,18848,-817.0,2882,3231
57,1-1B26SOR,1871.58,334.0,110.0,31.0,3.0,9798.0,85255,15.0,12370,15813.0,2593,5181
58,1-KIVYO,1.0,334.0,110.0,31.0,3.0,18.0,17411,4653.0,71542,8327.0,443,4649
59,1-LG62HQ,1.22,1289.0,418.0,149.0,20.0,550.0,2636,38.0,7256,759.0,2929,3136
60,1-DDVOILR,7.5,218.0,83.0,30.0,2.0,1246.0,1815,82.0,1774,-1003.0,625,1050
61,1-VWQ15A,0.1,334.0,110.0,31.0,3.0,10951.0,14955,5945.0,80717,2052.0,1783,6975
62,1-F20ZVI,4.35,334.0,110.0,31.0,3.0,415.0,-1275,83.0,151763,-3029.0,515,11629
63,1-LQIQT,0.25,334.0,110.0,31.0,3.0,2986.0,4226,94.0,3744,160.0,2217,1115
64,1-11AKXJ2N,10.0,2092.0,800.0,233.0,3.0,974.0,813,262.0,8527,145.0,4686,3834
65,1-4UB23N,0.01,318.0,112.0,25.0,8.0,44.0,1710,826.0,6378,220.0,717,808
66,1-29NOMV,61.18,525.0,164.0,43.0,1.0,3330.0,3788,1420.0,4932,796.0,1116,1047
67,1-CF0FOVO,57.28,1097.0,68.0,24.0,3.0,142.0,1563,766.0,13144,3304.0,506,703
68,1-9NALN,2113.2,233.0,111.0,46.0,2.0,123.0,4495,35.0,1030,674.0,1422,803
69,1-9QASBI2,1500.0,714.0,130.0,43.0,1.0,248.0,3035,1928.0,8623,1742.0,818,847
70,1-LG62FC,84.64,618.0,165.0,42.0,1.0,100.0,1112,32.0,10306,334.0,1178,1231
71,1-FJQ5D8S,44213.86,334.0,110.0,31.0,3.0,28000.0,60497,11454.0,50181,10561.0,8733,1316
72,1-BD0CA,9069.6,334.0,110.0,31.0,3.0,13557.0,15887,1342.0,14207,181.0,7017,1998
73,1-ANTPNIY,0.01,118.0,40.0,38.0,5.0,38.0,198,1.0,1434,95.0,898,946
74,1-9MHXYJ,5.0,198.0,144.0,37.0,5.0,4069.0,-941,1439.0,4737,-1103.0,962,1020
75,1-8ZVXJ,5510.78,14075.0,2702.0,668.0,76.0,86164.0,35361,13101.0,155701,35640.0,17100,16028
76,1-GQ1X,25.76,287.0,50.0,22.0,1.0,36.0,42874,0.0,16593,8436.0,552,3351
77,1-J7SSAU8,0.01,1231.0,684.0,158.0,72.0,155.0,-3340,1044.0,7957,-4051.0,3239,3499
78,1-DH1VOR4,0.01,203.0,133.0,37.0,11.0,208.0,303,403.0,5771,3.0,978,948
79,1-J7TT3GI,1312.13,334.0,110.0,31.0,3.0,223.0,-723,556.0,7079,403.0,1637,540
80,1-KFLTI5S,0.01,304.0,152.0,36.0,17.0,1302.0,1,240.0,8049,2.0,934,1097
81,1-XS9UOW8,0.01,253.0,102.0,25.0,10.0,223.0,19,31.0,1829,-2.0,669,479
82,1-NA8EQ,10.0,334.0,110.0,31.0,3.0,411.0,-48,618.0,31853,122.0,4994,2574
83,1-O2KFG,5.0,466.0,218.0,56.0,3.0,731.0,4165,889.0,2607,66.0,1097,1186
84,1-22U3IZX,0.1,245.0,110.0,26.0,3.0,5.0,46,0.0,833,-48.0,463,341
85,1-SJ150,0.01,334.0,110.0,31.0,3.0,6922.0,898,95.0,15622,263.0,3328,1728
86,1-993LDNV,0.01,372.0,140.0,122.0,10.0,203.0,701,599.0,4702,283.0,3136,3013
87,1-J7TDAEU,0.02,237.0,94.0,19.0,3.0,3.0,10,20.0,837,64.0,558,190
88,1-1GZLI4,5.0,285.0,64.0,16.0,3.0,1025.0,1760,42.0,1837,84.0,439,499
89,1-KIWE,0.02,334.0,110.0,31.0,3.0,659.0,1308,99.0,12014,450.0,552,1268
90,1-BMLBFIG,0.1,255.0,82.0,22.0,2.0,41.0,166,52.0,1677,118.0,557,367
91,1-P3UET,0.1,175.0,86.0,21.0,4.0,2.0,4,13.0,1084,1.0,412,306
92,1-LDZ31L,24.0,396.0,115.0,30.0,7.0,665.0,1709,780.0,2647,231.0,754,685
93,1-2YAICE,0.2,218.0,67.0,15.0,3.0,168.0,573,657.0,1326,88.0,414,250
94,1-PMAX2,33.6,312.0,140.0,33.0,4.0,2057.0,-91,5174.0,2013,-137.0,837,357
95,1-PKXP7,56.2,334.0,110.0,31.0,3.0,313.0,315,5130.0,1135,-13.0,1178,307
96,1-HPRY03U,0.01,169.0,78.0,19.0,9.0,11.0,-166,87.0,2101,-48.0,443,399
97,1-O24OZ,95.25,334.0,110.0,31.0,3.0,3420.0,6775,6043.0,13914,398.0,2517,1745
98,1-KZWQ,888.37,404.0,193.0,47.0,2.0,3192.0,5251,1221.0,4935,-48.0,933,1271
99,1-L1ZO,1186.53,817.0,219.0,54.0,8.0,2613.0,3408,2699.0,10545,1563.0,1430,1162
100,1-7E74V,1052.26,334.0,110.0,31.0,3.0,2594.0,3122,631.0,10488,1139.0,1537,1051
101,1-1ZEHP72,0.12,81.0,63.0,15.0,3.0,128.0,299,90.0,1490,165.0,410,230
102,1-AR2TGJ,5.0,169.0,95.0,23.0,3.0,126.0,154,63.0,3616,7.0,576,500
103,1-1YYL67N,3.45,390.0,53.0,16.0,1.0,17.0,803,418.0,5082,636.0,405,488
104,1-OIO0X,146.92,640.0,221.0,62.0,3.0,108.0,848,5.0,2066,29.0,1547,1022
105,1-3ITIUM,0.1,259.0,118.0,35.0,2.0,155.0,2146,20.0,1788,166.0,843,744
106,1-S8BBT,0.03,964.0,234.0,80.0,1.0,356.0,2591,53.0,4318,170.0,1358,1780
107,1-F02VX1,5.06,261.0,49.0,90.0,6.0,248.0,1364,48.0,3595,354.0,2436,2482
108,1-QKAQ0TW,437.11,334.0,110.0,31.0,3.0,1704.0,4487,1829.0,3809,121.0,1157,981
109,1-1NEHTWZ,0.05,316.0,209.0,64.0,3.0,87.0,-17,5.0,2241,28.0,1193,1014
110,1-1NEHEYE,0.02,60.0,26.0,23.0,2.0,20.0,123,1.0,807,27.0,498,542
111,1-262691,442.63,334.0,110.0,31.0,3.0,1043.0,6654,1371.0,15788,706.0,610,1861
112,1-HEO76,1537.86,1065.0,193.0,45.0,1.0,3366.0,11272,2673.0,31057,4197.0,1121,2463
113,1-LDINN,66.97,361.0,130.0,31.0,3.0,252.0,1739,1041.0,2194,103.0,612,579
